"year","unitid","inst_name","state_name","inst_control","institution_level","rev_tuition_fees_gross","exp_instruc_total","exp_acad_supp_total","exp_net_grant_aid_total","assets","liabilities","equity_total","total_revenues_additions","total_expenses_deductions"
"2016","108269","Academy of Chinese Culture and Health Sciences","California","Private not-for-profit","Four or more years","1326056","772892","217232","","1551128","757473","","1634128","1631073"
"2016","108861","American Baptist Seminary of the West","California","Private not-for-profit","Four or more years","623863","886042","252092","","17473884","4013311","","3389182","2858976"
"2016","108870","American Film Institute Conservatory","California","Private not-for-profit","Four or more years","9986766","2633979","6918799","","41986736","3660490","","34089248","34265120"
"2016","109086","American Conservatory Theater","California","Private not-for-profit","Four or more years","2777972","1321154","1227149","","99307888","44157900","","23523404","25757284"
"2016","109350","Antelope Valley College","California","Public","Four or more years","14312824","42144584","10855721","17486224","480373440","441172608","","149441344","147485520"
"2016","109651","Art Center College of Design","California","Private not-for-profit","Four or more years","107322000","52331000","14492000","","257860000","88648000","","109534000","88665000"
"2016","109785","Azusa Pacific University","California","Private not-for-profit","Four or more years","262599568","91036860","20488158","","362784896","189771632","","251591296","249237456"
"2016","109819","Bakersfield College","California","Public","Four or more years","21428660","62531588","22409896","33065348","575139008","510438656","","242154544","243267488"
"2016","110060","Bethesda University","California","Private not-for-profit","Four or more years","1986252","312367","214909","340454","19658288","3097903","","3457747","3135916"
"2016","110097","Biola University","California","Private not-for-profit","Four or more years","162702000","58611000","13925000","","454044992","165344000","","194412000","161440992"
"2016","110307","Phillips Graduate University","California","Private not-for-profit","Four or more years","3821328","3979458","127184","","3013244","2908286","","5018856","5841867"
"2016","110316","California Institute of Integral Studies","California","Private not-for-profit","Four or more years","26528622","14426781","1506364","","28881392","20062588","","30132308","29978436"
"2016","110361","California Baptist University","California","Private not-for-profit","Four or more years","228103376","80927350","5669554","514804","545083264","374177568","","203487328","181250496"
"2016","110370","California College of the Arts","California","Private not-for-profit","Four or more years","88478104","35002000","7051000","","144067008","49942000","","80281000","74079000"
"2016","110398","University of California-Hastings College of Law","California","Public","Four or more years","41451656","26377056","4407227","544894","202147008","64268388","","66927256","57459388"
"2016","110404","California Institute of Technology","California","Private not-for-profit","Four or more years","104116000","221509380","47741736","","5417000960","2376492032","","3398678016","2978841856"
"2016","110413","California Lutheran University","California","Private not-for-profit","Four or more years","128278072","41087360","6867993","","329901344","85715120","","127560640","112010592"
"2016","110422","California Polytechnic State University-San Luis Obispo","California","Public","Four or more years","228518624","196720290","49116390","16044661","1162065408","1209675264","","465100064","477430528"
"2016","110486","California State University-Bakersfield","California","Public","Four or more years","65872324","54673588","22473434","25026896","231643760","247481136","","169306000","172170208"
"2016","110495","California State University-Stanislaus","California","Public","Four or more years","76770904","69446380","15971341","28192348","219330736","227816384","","173687376","178120800"
"2016","110501","California State University-Chancellors Office","California","Public","Four or more years","","39771784","60858390","7824905","1423566336","2584572160","","560628800","544735360"
"2016","110510","California State University-San Bernardino","California","Public","Four or more years","151515968","116311470","25995460","43205764","534829344","550571840","","315927296","304407488"
"2016","110529","California State Polytechnic University-Pomona","California","Public","Four or more years","192447232","152815660","44784080","36163108","914271808","857858112","","389278688","375594976"
"2016","110538","California State University-Chico","California","Public","Four or more years","128371344","114076340","33197094","33995716","463590400","492862784","","297052864","299239840"
"2016","110547","California State University-Dominguez Hills","California","Public","Four or more years","101605184","82628904","24197028","31070784","233276432","278188960","","208675712","218327120"
"2016","110556","California State University-Fresno","California","Public","Four or more years","172769280","147174110","40151420","60705068","411145152","498918208","","365630176","393204032"
"2016","110565","California State University-Fullerton","California","Public","Four or more years","298197728","226898080","45939470","68794312","741646272","931282176","","578548928","571326272"
"2016","110574","California State University-East Bay","California","Public","Four or more years","137122144","89745064","50176920","23128100","354735360","438693504","","268225120","286450368"
"2016","110583","California State University-Long Beach","California","Public","Four or more years","273016576","233787470","52469616","66133980","732022976","823440128","","556089728","555084992"
"2016","110592","California State University-Los Angeles","California","Public","Four or more years","193841552","148952480","51440576","65421552","482282880","494763168","","392239904","398057440"
"2016","110608","California State University-Northridge","California","Public","Four or more years","304396480","218408850","59225104","87761584","788042624","816195584","","591466560","599561856"
"2016","110617","California State University-Sacramento","California","Public","Four or more years","228988608","182738300","38585024","68158016","726142976","847759104","","481212960","476229152"
"2016","110635","University of California-Berkeley","California","Public","Four or more years","1024150080","824277000","203147970","135583472","","","","",""
"2016","110644","University of California-Davis","California","Public","Four or more years","717566016","924248600","326360830","87817200","","","","",""
"2016","110653","University of California-Irvine","California","Public","Four or more years","651170944","759765400","213353120","83665968","","","","",""
"2016","110662","University of California-Los Angeles","California","Public","Four or more years","1049619200","2245090000","765903200","120936968","","","","",""
"2016","110671","University of California-Riverside","California","Public","Four or more years","378915936","331310880","61956940","61975584","","","","",""
"2016","110680","University of California-San Diego","California","Public","Four or more years","788744064","957956300","527582270","63156924","","","","",""
"2016","110699","University of California-San Francisco","California","Public","Four or more years","96536336","382645800","347276600","19956704","","","","",""
"2016","110705","University of California-Santa Barbara","California","Public","Four or more years","428973120","309341660","77077010","87013600","","","","",""
"2016","110714","University of California-Santa Cruz","California","Public","Four or more years","333920800","196164510","49451070","41775904","","","","",""
"2016","110918","California Christian College","California","Private not-for-profit","Four or more years","122910","63052","66362","","1280525","4638","","367361","414455"
"2016","111081","California Institute of the Arts","California","Private not-for-profit","Four or more years","64198748","34881370","9816348","","236871328","15719181","","86108464","66518504"
"2016","111188","California State University Maritime Academy","California","Public","Four or more years","12783125","21569462","2635566","837813","136007536","97965624","","60225056","62932608"
"2016","111391","California Western School of Law","California","Private not-for-profit","Four or more years","35801232","7462099","9428385","","70471520","16293875","","26669404","27366432"
"2016","111948","Chapman University","California","Private not-for-profit","Four or more years","389929952","132241384","50243630","","1253475712","318031776","","374379392","291795904"
"2016","111966","Charles R Drew University of Medicine and Science","California","Private not-for-profit","Four or more years","14857500","9788700","7258300","","168360608","51652100","","60553100","50404100"
"2016","112075","Concordia University-Irvine","California","Private not-for-profit","Four or more years","82956184","29348788","5327008","","146289056","43205672","","82518992","69850184"
"2016","112084","San Diego Christian College","California","Private not-for-profit","Four or more years","17292120","3984881","3403046","","17437904","12051423","","13476701","13419129"
"2016","112127","Church Divinity School of the Pacific","California","Private not-for-profit","Four or more years","1160151","941490","343945","","27036692","3389779","","6330446","4799127"
"2016","112251","Claremont Graduate University","California","Private not-for-profit","Four or more years","51827100","34017416","6868782","1043519","270978464","75126936","","66979060","69277944"
"2016","112260","Claremont McKenna College","California","Private not-for-profit","Four or more years","69068000","38640000","8106000","","1326169984","265395008","","200707008","115518000"
"2016","112446","Coleman University","California","Private not-for-profit","Four or more years","6399651","1751976","286862","","4295541","1453170","","9620239","9240606"
"2016","112525","Western University of Health Sciences","California","Private not-for-profit","Four or more years","179739840","117872936","27371120","","353969952","209535824","","211183072","185738208"
"2016","112570","Columbia College-Hollywood","California","Private not-for-profit","Four or more years","8522596","1855796","1350500","","14151853","8591503","","9817045","10087886"
"2016","113537","Dell'Arte International School of Physical Theatre","California","Private not-for-profit","Four or more years","774167","438110","185000","","1425237","470088","","1062960","1218425"
"2016","113698","Dominican University of California","California","Private not-for-profit","Four or more years","65462364","28126400","4863981","","141185792","34439160","","59948812","57346640"
"2016","113704","Dominican School of Philosophy & Theology","California","Private not-for-profit","Four or more years","793940","1046178","416965","","2645117","65461","","3190890","2681022"
"2016","114433","Feather River Community College District","California","Public","Four or more years","1832360","10613326","813699","3888824","21318214","17315892","","25750076","25835156"
"2016","114549","Fielding Graduate University","California","Private not-for-profit","Four or more years","20424180","10121188","2146255","","29076472","7028578","","21752368","21383998"
"2016","114716","Foothill College","California","Public","Four or more years","28265468","67966160","12330402","5262540","","","","",""
"2016","114734","Franciscan School of Theology","California","Private not-for-profit","Four or more years","505761","428772","270707","","10557857","51385","","2127574","1628367"
"2016","114813","Fresno Pacific University","California","Private not-for-profit","Four or more years","60787204","18049424","11294834","","77110968","29088092","","59268304","59866480"
"2016","114831","Foothill-De Anza Community College District","California","Public","Four or more years","","","","","962366656","1133762688","","344344768","392037920"
"2016","114840","Fuller Theological Seminary in California","California","Private not-for-profit","Four or more years","28201000","21256000","4894000","","275279008","53259000","","77531000","62079000"
"2016","115083","Golden Gate University-San Francisco","California","Private not-for-profit","Four or more years","52150200","16937428","11467800","","141605920","49219484","","52051352","52752388"
"2016","115214","Graduate Theological Union","California","Private not-for-profit","Four or more years","2860925","1790143","3139660","","61181152","1266778","","11393075","9199107"
"2016","115409","Harvey Mudd College","California","Private not-for-profit","Four or more years","43471992","28503484","6637346","","472979360","59246808","","92497296","65387880"
"2016","115728","Holy Names University","California","Private not-for-profit","Four or more years","23165344","7800985","1849519","","67846032","14636831","","33064904","30423812"
"2016","115755","Humboldt State University","California","Public","Four or more years","63801724","63726772","19952704","12921342","253205856","274326656","","172970768","170368688"
"2016","115773","Humphreys University-Stockton and Modesto Campuses","California","Private not-for-profit","Four or more years","7800601","3206241","1495978","","26550172","8968177","","8545740","9218847"
"2016","116712","John F. Kennedy University","California","Private not-for-profit","Four or more years","17631604","9577127","4193605","","32543872","18313720","","26966860","27054032"
"2016","116846","American Jewish University","California","Private not-for-profit","Four or more years","5298834","3685242","4417346","","144165536","40248844","","21588826","24622260"
"2016","117104","Life Pacific College","California","Private not-for-profit","Four or more years","6741819","2364889","905161","","30119036","537582","","9044085","9935521"
"2016","117140","University of La Verne","California","Private not-for-profit","Four or more years","191224416","64543944","17026140","","390745504","167246336","","174004000","149214416"
"2016","117168","Laguna College of Art and Design","California","Private not-for-profit","Four or more years","15230643","6784310","1854138","","26477074","14122152","","14653132","13337737"
"2016","117520","Life Chiropractic College West","California","Private not-for-profit","Four or more years","19742660","7201436","2439489","","35799180","21034448","","24411290","21263942"
"2016","117557","Lincoln University","California","Private not-for-profit","Four or more years","6937460","1928850","789040","","6598035","1397612","","7177070","7092186"
"2016","117575","Southern California Seminary","California","Private not-for-profit","Four or more years","2510506","866871","","","867426","190628","","2961247","2620869"
"2016","117627","La Sierra University","California","Private not-for-profit","Four or more years","62720164","20733168","6019268","15413662","188449488","38015368","","89978032","82207560"
"2016","117636","Loma Linda University","California","Private not-for-profit","Four or more years","160052000","119631000","46821000","","1538084992","806209024","","334267008","291996000"
"2016","117672","Southern California University of Health Sciences","California","Private not-for-profit","Four or more years","20578870","11508061","1501730","","36100264","8029883","","23843140","25894576"
"2016","117751","The Master's University and Seminary","California","Private not-for-profit","Four or more years","35813332","13707439","3295391","","89515136","35057496","","46070480","40441768"
"2016","117946","Loyola Marymount University","California","Private not-for-profit","Four or more years","371128000","144941000","50443000","","1265111040","302712000","","403855008","360600000"
"2016","118541","Marymount California University","California","Private not-for-profit","Four or more years","34797724","6967280","1880752","","45576416","9668604","","34165340","27630770"
"2016","118693","Menlo College","California","Private not-for-profit","Four or more years","27082478","6133041","2542968","","42926032","13342024","","27757196","26073912"
"2016","118888","Mills College","California","Private not-for-profit","Four or more years","49655748","22470384","6100159","","320699936","44119724","","82170656","66812572"
"2016","118976","Modesto Junior College","California","Public","Four or more years","18341398","44703560","9852573","1519660","","","","",""
"2016","119058","Middlebury Institute of International Studies at Monterey","California","Private not-for-profit","Four or more years","","","","","","","","",""
"2016","119173","Mount Saint Mary's University","California","Private not-for-profit","Four or more years","100741128","33205442","9586039","","256071840","13764525","","108788296","88735216"
